OG,LRT,theta,thetaShift,sigma.sq,alpha,beta,shift.direction,pval,llTwoTheta,llOneTheta,isSig
OG0006786,5.462873787172484,1.6946502239792252,2.1669607205374666,374.7618479484152,1626.785617227041,1.4749395592440564,up,0.019424674369245443,-44.826981873498696,-47.55841876708494,TRUE
OG0005659,4.925263452034223,0.721555370763584,1.8869413464913039,0.646752099509828,5.366869597344842,0.20163423216183798,up,0.026466766404209897,29.65145459803058,27.188822872013468,TRUE
OG0004782,4.469865416483394,0.9086742155821229,1.3339923320314546,8.590559428425061,46.13030913981322,0.20977674880154742,up,0.03449770882429027,9.894689381807318,7.659756673565621,TRUE
OG0005534,11.847328193968863,0.8393164315312827,1.3189091249109204,240.1838829956491,2242.0761570687205,0.8941094799836414,up,5.774413526422616e-4,-7.701402831556358,-13.62506692854079,TRUE
OG0006832,4.0296721737423695,0.5705378992849619,1.2876595189782942,1.2175632341224276,10.604583031015435,0.28694289047450144,up,0.04470662736762268,20.86035915691616,18.845523070044976,TRUE
OG0006356,9.172820155810612,0.6271226668648722,1.1373945788170843,2.5731551770895207,38.30559850309766,0.5470558640197805,up,0.002456357617884477,20.201794067718062,15.615383989812756,TRUE
OG0004259,8.297679242681205,0.7988143827808104,1.0843121050195403,34.45520279102758,590.1847275983113,0.6372679213706618,up,0.003969577300268382,20.00290857139451,15.854068950053907,TRUE
OG0004672,6.130944580057232,0.6882441115860624,1.0529608565318225,127.70538761295792,762.6809903547737,0.18315929650346682,up,0.01328358828434661,15.447907085891906,12.38243479586329,TRUE
OG0003230,5.301584421265517,0.7088383598766695,1.032226817525948,5.016453529482102,59.447869072750386,0.3311302012651714,up,0.021306035242547885,24.337949202917308,21.68715699228455,TRUE
OG0004712,5.168457858746294,0.686163570039522,1.026708673155558,4.972460344937115,52.728179925593174,0.39324940993134827,up,0.0230006256620208,16.864577604339942,14.280348674966795,TRUE
OG0007355,4.165669009735943,0.701406863399685,1.0151733796991829,380.9442870059822,2050.169468848085,0.24497961328392137,up,0.04125111906170856,5.457854362907355,3.3750198580393835,TRUE
OG0006130,4.129530657126097,0.5770200919957101,0.9931741707040118,5.785635146432487,38.034069728686774,0.14752936830608465,up,0.04214103691530883,24.702268717137542,22.637503388574494,TRUE
OG0003151,8.67340397331931,0.6219167238602795,0.9870957516596995,6.068025947839218,88.36278680452122,0.44328650399406094,up,0.0032288751008044997,23.741296370833858,19.404594384174203,TRUE
OG0001174,5.382003150079868,0.668959236214004,0.9534679435626915,2432.441988047065,24554.443643510433,0.8437794572949123,up,0.02034550462151572,-3.767118478956693,-6.458120053996627,TRUE
OG0004235,8.825425612237943,0.5425181190870055,0.9346622622325059,118.77924401432145,1503.7565837086606,0.3104874754871753,up,0.0029706209977761614,27.351634153087108,22.938921346968137,TRUE
OG0003189,7.942437194508692,0.5711929575901464,0.9330264660932577,12.315515901279621,135.61446133364748,0.33680711387534173,up,0.0048288755287485595,21.07715944470645,17.105940847452104,TRUE
OG0003563,4.953224116783765,0.5188461559015458,0.8098624078097589,7.209205768279154,82.734003354245,0.3695245366394842,up,0.026042059255862213,20.45728552087081,17.980673462478926,TRUE
OG0004412,6.183154317957225,0.5766920262952824,0.8059880509615369,114.0426615478057,2002.6973272844343,0.6019673965626418,up,0.012897215728538625,22.174551790757572,19.08297463177896,TRUE
OG0006996,4.258334183170163,0.585957565252456,0.8019476944862554,790.0253556944172,13365.625976507667,1.7293289262923999,up,0.03905820466157219,-5.416528636741042,-7.545695728326123,TRUE
OG0006650,6.247410423529068,0.5027365525086864,0.7935069776671666,14.490733990343935,183.2971358876746,0.287262514672369,up,0.012437500643459044,29.15934851253267,26.035643300768136,TRUE
